,time,iter,type,v_x,v_y,v_z,x,y,z,n_cells
540,142,2,BA,-131.34440143053584,11.002755244740474,684.3928449214494,[ 56.00746269  83.20149254 -81.54477612],[ 56.68085106  78.53191489 -76.93617021],[ 56.60583942  75.75182482 -71.17518248],1345
541,143,2,BA,-120.81019700527986,-121.45424015187129,807.4370182931799,[  17.2189781    28.16058394 -110.27737226],[  17.06382979   28.43971631 -109.95744681],[  16.21985816   27.85815603 -108.56028369],1345
542,144,2,BA,-178.13708555347068,24.046195855648264,903.9049231149818,[ 90.07857143  11.63571429 -39.47857143],[ 90.42553191  15.13475177 -43.34042553],[ 89.62406015  14.71428571 -43.03759398],1345
543,145,2,BA,-118.85419003107444,40.382189785228945,529.4520652611648,[157.21167883 141.44525547 -72.54014599],[156.12765957 142.18439716 -74.55319149],[153.05673759 144.17021277 -75.58865248],1345
544,146,2,BA,53.051704259526616,-108.376846508237,592.4263602089385,[28.32352941 16.33823529 68.52941176],[28.53472222 17.03472222 63.39583333],[27.48951049 15.48951049 65.51048951],1345
545,147,2,BA,187.38261375472405,-17.919755062160824,570.3318971569323,[60.7        67.82142857  7.37142857],[66.09929078 68.73049645  5.65957447],[70.89781022 71.86131387  4.08759124],1345
546,148,2,BA,103.88632570377628,-132.0352246192632,675.7085322083998,[  82.95555556    1.7037037  -101.71851852],[  80.57971014    3.84057971 -103.5942029 ],[  78.67132867    6.57342657 -105.09090909],1345
547,149,2,BA,-254.011506108385,-190.23177391567006,546.2445897533852,[ 34.72661871  33.67625899 -66.60431655],[ 35.65492958  32.83802817 -62.34507042],[ 38.44755245  29.46853147 -60.62937063],1345
548,150,2,BA,-127.6182390557077,-61.844765280787755,568.5994577003286,[  34.55072464   42.87681159 -182.7826087 ],[  35.18309859   42.8943662  -185.19014085],[  33.5037594    40.68421053 -186.73684211],1345
549,151,2,BA,48.549485450044614,130.35716635052134,281.31143439091284,[ -4.16788321  44.34306569 -22.09489051],[ -1.44217687  47.89115646 -20.6462585 ],[  1.07092199  48.58865248 -19.4822695 ],1345
550,152,2,BA,69.06602388165625,-104.25642386199856,562.8327981025478,[ 15.82978723  48.40425532 -79.34751773],[ 20.2826087   48.16666667 -79.76811594],[ 21.79432624  47.41134752 -80.85106383],1345
551,153,2,BA,-217.87160377157792,-42.45953132810635,752.6670756017575,[146.48201439   1.11510791 -95.79856115],[147.11347518   1.4964539  -99.4751773 ],[ 145.62937063    2.18881119 -101.44055944],1345
552,154,2,BA,-482.45650803724436,86.32145141302055,700.4925130337219,[43.45925926 66.41481481 29.52592593],[41.17910448 65.47761194 25.8880597 ],[42.01438849 66.94244604 28.8705036 ],1345
553,155,2,BA,-615.2813529649413,142.0386278890123,639.5686865653585,[ 146.          114.56338028 -146.98591549],[ 148.51020408  117.85034014 -146.88435374],[ 146.92805755  120.94964029 -145.56834532],1345
554,156,2,BA,-459.58217706639437,-147.27778371437367,458.98661691698635,[ -1.45018026  60.18439716 -25.98506488],[ -1.88489209  59.4676259  -27.91366906],[  0.22463768  57.78985507 -31.6884058 ],1345
