,time,iter,type,v_x,v_y,v_z,order,variance,n_cells
5507,134,1,BA,-38.114726760095444,-39.83556936701579,74.81187587372779,92.93235041973875,5.4027015499063635,1344
5508,135,1,BA,-1.2556497399403521,-8.013034954337995,12.956695912459738,15.285985555953063,5.491656318344651,1344
5509,136,1,BA,-7.06216841167603,-28.178338975228453,9.526475385712423,30.571992793279573,5.697675245602155,1344
5510,137,1,BA,-10.050297919793763,-85.32290232869799,40.50413600583644,94.98205716685887,5.581199204225298,1344
5511,138,1,BA,-36.904510542590465,-34.673792369694034,45.645040957764586,68.17392859239395,5.57859035887814,1344
5512,139,1,BA,-44.72327127339856,-33.407183897504694,-9.48890618529546,56.62376064823876,5.2346117971248045,1344
5513,140,1,BA,72.47664331101218,9.744723635273665,55.7772179497026,91.97239535082348,5.462021294566401,1344
5514,141,1,BA,93.41621146406719,16.833756506530115,60.22031095261901,112.4119645484883,5.527187291915322,1344
5515,142,1,BA,26.889653654861082,5.288565607450992,-15.654961904525468,31.561055623898913,5.614357847135428,1344
5516,143,1,BA,24.779981886498227,-6.3401899957285295,13.31237538477638,28.835132215100323,5.629393462323613,1344
5517,144,1,BA,75.56096924557878,-49.59472044249701,3.5151676783380474,90.45138347702353,5.527977292619907,1344
5518,145,1,BA,39.68021324665571,0.7045767450455115,48.524862400342165,62.68714399828621,5.69439827925545,1344
5519,146,1,BA,13.527131965846266,-27.362172876539834,33.19939744000682,45.09846775808025,5.702130106369971,1344
5520,147,1,BA,0.9352242257412529,30.625816382602324,8.400390581349887,31.77077014131886,5.612043255223167,1344
