,time,iter,type,v_x,v_y,v_z,x,y,z,n_cells
1922,131,1,BA,264.36740682073724,349.8596054337525,-400.1408124036498,[-33.8115942   18.02898551 158.67391304],[-33.46268657  18.32089552 158.35074627],[-33.33088235  17.18382353 157.45588235],1344
1923,132,1,BA,191.56483696251766,173.21447969569647,-692.6621153302863,[19.30597015 91.57462687 39.70895522],[17.47058824 91.33088235 40.99264706],[15.18439716 93.56737589 37.20567376],1344
1924,133,1,BA,92.57482802317281,330.06061194225714,-669.854209909869,[-12.83333333  21.99358974 200.10897436],[-13.52517986  21.87769784 198.72661871],[-15.39597315  25.80536913 196.83221477],1344
1925,134,1,BA,-45.61089566800452,226.75315984534384,-715.5609893484415,[-17.8013245   -9.31788079  99.31788079],[-18.66666667  -6.36111111 102.86805556],[-22.37086093  -6.0794702  105.18543046],1344
1926,135,1,BA,159.72208767350048,297.7766949275779,-669.3020304690301,[ 0.59722222 -8.92361111 72.01388889],[  0.46428571 -11.15        68.67142857],[  1.58041958 -13.65734266  66.67832168],1344
1927,136,1,BA,170.60087262664652,145.11093834283133,-712.949719369286,[-37.8705036  -56.49640288 101.50359712],[-40.03546099 -54.75177305 103.56737589],[-40.68345324 -55.35251799 109.57553957],1344
1928,137,1,BA,244.11161197301368,-8.740959506764625,-764.218025158401,[114.06338028  -6.45774648  57.06338028],[115.97761194  -8.52985075  57.        ],[114.54225352 -11.26760563  54.18309859],1344
1929,138,1,BA,37.71552039705084,-105.39756582257846,-640.5909536921628,[ 81.67549669 -55.13907285  73.86092715],[ 78.71223022 -54.10791367  72.8705036 ],[ 78.78873239 -50.82394366  73.27464789],1344
1930,139,1,BA,307.65744226205135,-54.40605626825017,-857.0969557910016,[-64.7071034   -2.17164179 133.65564466],[-79.15807269  -0.34425232 138.44284354],[-63.88887609   2.625      140.10440775],1344
1931,140,1,BA,152.83868365184634,-105.73957619199291,-744.6892196530175,[ 36.73154362 -14.73825503  33.17449664],[ 35.26241135 -16.71631206  30.5035461 ],[ 36.14189189 -12.44594595  27.31081081],1344
1932,141,1,BA,245.8160534851646,-122.49473737165455,-754.1228037998412,[ 41.78289474  -5.13157895 291.70394737],[ 44.2         -4.86206897 288.15862069],[ 40.52173913  -4.13768116 286.1884058 ],1344
1933,142,1,BA,116.90742037867363,88.80788979441814,-820.850044838727,[ 78.60606061 -26.13636364  68.57575758],[ 79.32283465 -27.07086614  68.69291339],[ 78.89393939 -26.90909091  67.98484848],1344
1934,143,1,BA,331.234106632597,-23.409487582198707,-754.7344467874974,[ 62.49659864 -42.49659864 100.08163265],[ 61.74285714 -38.72142857 101.42142857],[ 62.19047619 -33.02721088 102.29251701],1344
1935,144,1,BA,373.4427624067964,193.28892510765797,-652.173917360954,[ 19.82993197  45.14965986 137.80272109],[ 22.95035461  42.13475177 140.97163121],[ 24.35251799  38.52517986 140.28776978],1344
1936,145,1,BA,451.8538721972404,179.53969120926712,-615.8319443113269,[-60.73684211 -14.53289474 201.88815789],[-63.2        -16.55172414 204.75172414],[-66.21481481 -17.56296296 206.57037037],1344
