,time,iter,type,v_x,v_y,v_z,x,y,z,n_cells
2622,35,2,PW,-394.5218331367031,-1227.1678052035097,-3476.237274291764,[381.23376623 531.65584416 525.57142857],[387.35    535.18125 526.5625 ],[386.69811321 540.72955975 527.69811321],1327
2623,36,2,PW,-477.1510810976645,-1514.005646294899,-3643.5758513889227,[292.66906475 351.83453237 568.03597122],[294.57857143 351.33571429 563.59285714],[295.32484076 350.78980892 558.47770701],1327
2624,37,2,PW,-574.061668627126,-1445.3449672984693,-3695.2026755230727,[283.88815789 412.73684211 540.71710526],[284.05479452 413.24657534 544.52054795],[280.45394737 415.15131579 546.03947368],1327
2625,38,2,PW,-557.3348989423863,-1642.7038774825317,-3984.6269744038123,[442.07333333 428.81333333 558.7       ],[438.91194969 426.45283019 555.55974843],[434.48684211 422.47368421 555.67763158],1327
2626,39,2,PW,-637.1012526311881,-1745.1183698065447,-4134.413099744157,[248.94666667 412.65333333 430.59333333],[247.77987421 411.58490566 436.08805031],[245.50657895 410.08552632 440.43421053],1327
2627,40,2,PW,-580.7538588887028,-1919.899288988515,-4063.0905291380145,[334.91025641 368.34615385 456.74358974],[331.5477707  366.1656051  453.56050955],[328.69811321 365.37106918 449.06289308],1327
2628,41,2,PW,-652.4803394075377,-2126.695275315578,-4071.015993490445,[327.17610063 491.98742138 510.89308176],[324.58       491.         506.09333333],[323.69426752 490.18471338 501.05095541],1327
2629,42,2,PW,-690.4415662844149,-2174.136304060988,-4094.832441164993,[506.52287582 337.52287582 555.30065359],[502.35810811 341.83783784 553.78378378],[498.36305732 345.21656051 555.96815287],1327
2630,43,2,PW,-780.8276448542874,-2026.9517708043259,-4145.807807239683,[307.2244898  474.54421769 388.44217687],[306.30769231 480.03846154 386.76923077],[304.69536424 485.05298013 386.94039735],1327
2631,44,2,PW,-754.3987196474784,-2127.9290751615254,-4201.761321117118,[240.90728477 481.88741722 497.05960265],[243.90062112 478.55900621 498.26086957],[248.05732484 477.50955414 500.75796178],1327
2632,45,2,PW,-994.387292786017,-2149.5440149927963,-4420.870201631392,[349.5704698  498.63758389 476.4295302 ],[351.37888199 495.65217391 480.28571429],[356.61038961 493.0974026  483.65584416],1327
2633,46,2,PW,-1000.5876852123068,-2178.0169541052037,-4538.1913546959295,[322.         387.52317881 590.70198675],[319.35753333 384.44099379 593.6288323 ],[318.9068323  387.01863354 598.61490683],1327
2634,47,2,PW,-1030.0025995218712,-2098.1526163693816,-4456.0694860733465,[243.65384615 472.50641026 550.50641026],[241.1292517  473.14285714 546.37414966],[237.28481013 474.22151899 545.11392405],1327
2635,48,2,PW,-1127.806692805632,-2117.6000926008064,-4569.2193993670935,[287.01369863 505.17808219 471.5       ],[286.66242038 500.96178344 474.66878981],[287.125      496.36805556 474.38888889],1327
2636,49,2,PW,-1164.5973782931646,-2240.1732415278025,-4543.427276456318,[389.08496732 527.94117647 554.35947712],[387.02054795 524.18493151 555.18493151],[382.90196078 521.67973856 553.44444444],1327
2637,50,2,PW,-1131.4470408195634,-2241.228240858676,-4644.7742924285585,[274.02027027 441.85135135 610.91891892],[273.05479452 442.10958904 607.11643836],[272.05405405 436.85810811 604.18918919],1327
2638,51,2,PW,-1282.9125956137761,-2363.8723123960053,-4571.018440314985,[415.51724138 364.68275862 588.56551724],[419.67320261 361.73202614 600.65359477],[422.82550336 357.52348993 598.67114094],1327
2639,52,2,PW,-1333.0339316075178,-2502.570234891985,-4520.437448651485,[233.28289474 617.23684211 461.5       ],[230.71794872 614.12179487 456.08333333],[229.79432624 611.05673759 453.45390071],1327
2640,53,2,PW,-1355.4533510807973,-2477.071221241936,-4453.996399373971,[398.53642384 431.04635762 436.87417219],[395.92666667 427.41333333 439.16      ],[400.7672956  422.40251572 441.81761006],1327
2641,54,2,PW,-1430.5354059715844,-2562.8845290856443,-4498.459327670967,[365.01290323 551.67741935 575.05806452],[364.04137931 546.75862069 575.26896552],[364.125      544.88970588 571.94852941],1327
2642,55,2,PW,-1527.4088506238359,-2748.869838421736,-4479.114886432748,[303.96575342 474.05479452 573.42465753],[308.59872611 475.29299363 574.74522293],[307.39597315 480.3557047  576.71812081],1327
2643,56,2,PW,-1427.6891432891168,-2734.080382711472,-4417.489835535806,[107.01333333 468.06       610.97333333],[106.0974026  466.74025974 605.58441558],[106.60839161 462.15384615 603.22377622],1327
2644,57,2,PW,-1576.3739904548324,-2617.0260288558766,-4532.730797139483,[167.56329114 302.72151899 310.39240506],[164.01973684 300.36184211 310.33552632],[163.74324324 301.81081081 304.58108108],1327
