,Cellid,Motility,Persistance,AutoSlope,P-val,Lambda,Max_act,Speed
19903,171,19.974927517679106,158.51741466175423,-0.0013620607808913585,8.146483734616495e-06,5000,472,0.5396741521206563
19904,80,68.23924329972832,254.08015973146874,-0.0014831822279132048,3.880979955979919e-10,3000,788,0.6284248067350152
19905,165,0.3105093166831977,47.841239887126925,-0.0018445205340526425,2.8169970914062297e-11,7000,5000,0.10510573244925231
19906,101,106.64127340723263,901.1200052178388,-0.0007921873389741969,0.00035550167192184085,8000,788,0.5301556267638273
19907,204,42.59259625944981,62.72729372397977,-0.002114814190135624,3.4453898316115217e-13,7000,155,1.074884200175376
19908,7,12.765296852092673,125.51631318983783,-0.0016078868219715488,8.294649352891836e-07,10000,788,0.4417680473508335
19909,136,5.594305828962967,158.0667839988004,-0.003952820906602354,7.246584530924116e-45,3000,788,0.23750606784191736
19910,116,24.47179141063987,748.7006765061527,-0.0007367718187849593,0.0010787774211421651,8000,2000,0.2831573903432035
19911,15,66.39415010745238,199.27823152475258,-0.00035406472974979506,0.11439844506408649,10000,366,0.7895732963816343
19912,33,287.92382357431313,69811.41718498591,0.00015467708417928137,0.5085835476252345,1000,3000,0.0554931681718303
19913,120,96.78257959832418,172.9621825732759,-0.0009005855898883366,7.754571005407919e-05,6000,155,0.9921152610105164
19914,123,33.32700792998301,278.9932659522266,-0.0012328986484780567,1.0110133436518624e-07,10000,1000,0.4633902340052295
19915,169,9.586560601485086,144.29773725035628,-0.00130408507871222,1.5180069057004953e-08,10000,3000,0.3727394201186633
19916,43,164.0643183471503,538.9425897171409,-0.0007952964341178982,0.0023643397317816522,9000,366,0.8600936659036796
19917,186,0.0,0.0,,,1000,3000,0.0
19918,148,30.00607222708357,82.1663557942331,-0.00015337980295144205,0.6168882245628574,7000,683,0.7087824228956775
19919,148,50.785015252032785,888.0555922898344,-0.0019810258711920135,5.858666479280175e-16,3000,1000,0.39156759537767305
19920,164,0.01413129164283385,3.471240004716664,-0.0030275794577538525,3.347634286886771e-25,5000,50,0.018568133944603913
19921,177,57.23903567588707,229.4463362677699,-0.001140781187491529,9.693338320873934e-07,6000,261,0.7771696394221693
19922,11,396.3665296560753,210.95968007990655,-6.419524826697033e-05,0.7855385919773527,7000,50,1.8746106181356752
19923,20,21.289768973694557,146.7813958686047,-0.001346875486156457,2.061049250034958e-08,10000,2000,0.5723530399399084
19924,103,11.234103838410606,342.5710661917179,-0.0013774739486295893,1.555364146702431e-06,6000,894,0.28617084158805817
19925,129,35.76183469984787,1147.254301048909,-0.001191207400675586,0.0014658175166425236,3000,788,0.23758326572762178
19926,33,0.009810617787990196,8.418510972629214,-0.0854192200708449,0.3096714103438068,2000,155,0.0018438784226076398
19927,56,159.2750344124998,355.9108079358761,-0.00034348316926533667,0.17412265418350756,6000,155,1.0277267961021748
19928,45,12.782955891355135,221.63934975899795,-0.0009589053970520967,0.007203337135023439,3000,366,0.33175024171502937
19929,201,23.2457380207324,154.28301356536528,-8.027922819355846e-06,0.9618077665794409,3000,5000,0.628876870758484
19930,10,9.252826212904521,57.79006611906202,-0.001120080628753837,7.378383121846629e-05,7000,472,0.5360336591447524
19931,46,9.058229980178858,1199.8383191945588,-0.0011340909394232112,2.2804809942142827e-07,10000,5000,0.14612400615511467
19932,26,41.65882956689623,85.35375019087974,-0.0006944597380314028,0.0012665103590226135,7000,261,1.0297821867439612
19933,109,31.518079986745278,123.1381109827476,-0.00029955876377211576,0.23022882020118765,4000,577,0.6648365078287988
19934,6,70.26098698834095,223.98234887066033,-0.0006263123516994795,0.005355304851305264,9000,366,0.8044570753325875
19935,167,89.77548750711426,214.40461199970306,-0.001144238130531945,1.3565008587024991e-11,7000,683,0.8950728781600186
